RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:APP,MEASURED ROUNDS
1,0,28237,Rory McIlroy,1.464,11.709,8
2,0,37455,Si Woo Kim,1.313,27.572,21
3,0,50095,Austin Smotherman,1.302,9.116,7
4,0,40098,Matt Fitzpatrick,1.120,15.685,14
5,3,37275,Sam Ryder,1.094,5.468,5
6,0,50525,Collin Morikawa,1.081,15.130,14
7,18,60004,Jacob Bridgeman,0.922,16.601,18
8,8,59018,Ryan Gerard,0.894,15.204,17
9,4,36326,David Lipsky,0.848,4.241,5
10,4,63454,Johnny Keefer,0.838,10.897,13
11,-4,32839,Hideki Matsuyama,0.834,15.842,19
12,7,65256,David Ford,0.794,5.557,7
13,9,30926,Chris Kirk,0.766,6.891,9
14,-4,22405,Justin Rose,0.763,7.629,10
15,8,49590,Frankie Capan III,0.761,1.521,2
16,-5,46717,Viktor Hovland,0.756,9.070,12
17,10,52453,Nicolai Højgaard,0.731,5.116,7
18,10,37338,Zecheng Dou,0.682,8.860,13
19,-4,33204,Shane Lowry,0.678,5.426,8
20,26,48117,Kurt Kitayama,0.675,11.477,17
21,8,58168,Davis Thompson,0.673,5.385,8
22,8,36689,Brooks Koepka,0.661,3.305,5
23,9,57586,Jesper Svensson,0.622,1.245,2
24,10,35296,Haotong Li,0.619,6.809,11
25,10,47483,Will Zalatoris,0.602,1.806,3
26,11,24502,Adam Scott,0.591,7.686,13
27,9,27770,Camilo Villegas,0.588,1.175,2
28,13,56630,Akshay Bhatia,0.587,8.212,14
29,-12,49960,Sepp Straka,0.562,7.312,13
30,3,59095,Chris Gotterup,0.551,9.364,17
31,8,60019,Jackson Suber,0.542,2.167,4
32,-14,34098,Russell Henley,0.526,6.316,12
33,-13,32102,Rickie Fowler,0.523,7.323,14
34,9,66743,Luke Clanton,0.508,1.523,3
34,10,59836,Pierceson Coody,0.508,10.665,21
36,-24,35450,Patrick Cantlay,0.477,5.242,11
37,2,40026,Daniel Berger,0.455,7.286,16
37,10,46464,Jordan Smith,0.455,5.001,11
39,9,40115,Adam Svensson,0.454,2.724,6
40,13,51287,Ryo Hisatsune,0.453,8.607,19
41,22,47420,Jake Knapp,0.429,8.152,19
42,7,55893,Sam Stevens,0.402,8.439,21
43,-1,46442,Maverick McNealy,0.393,6.682,17
44,14,57362,Austin Eckroat,0.327,2.614,8
45,7,25493,Nick Taylor,0.323,5.813,18
46,14,59866,Nick Dunlap,0.313,1.563,5
46,14,60386,Sudarshan Yellamaraju,0.313,3.751,12
48,14,47591,Eric Cole,0.308,2.772,9
49,7,51766,Wyndham Clark,0.293,4.984,17
50,5,51950,Max McGreevy,0.289,4.914,17
51,-1,47504,Sam Burns,0.285,2.853,10
52,14,28723,John Parry,0.272,3.542,13
53,14,34256,Andrew Putnam,0.271,0.813,3
54,-16,34021,Bud Cauley,0.265,3.977,15
55,9,27349,Alex Noren,0.250,2.501,10
55,-4,46046,Scottie Scheffler,0.250,3.496,14
