RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,35310,Lanto Griffin,1.534,3.068,2
2,0,30911,Tommy Fleetwood,1.107,8.857,8
3,0,27649,Brandt Snedeker,0.867,1.734,2
4,0,32839,Hideki Matsuyama,0.677,12.856,19
5,9,33141,Keegan Bradley,0.671,7.377,11
6,2,36689,Brooks Koepka,0.666,3.328,5
7,3,49947,Taylor Moore,0.652,3.259,5
8,8,57975,Harry Hall,0.588,8.228,14
9,2,46046,Scottie Scheffler,0.544,7.611,14
10,7,23108,Matt Kuchar,0.539,1.616,3
11,7,35506,Mackenzie Hughes,0.537,6.446,12
12,-6,54591,Ben Griffin,0.529,9.527,18
13,7,39335,Kevin Roy,0.525,5.246,10
14,7,35461,Beau Hossler,0.494,1.975,4
15,4,39324,J.J. Spaun,0.446,4.911,11
16,9,45522,Christiaan Bezuidenhout,0.445,3.115,7
17,-8,59095,Chris Gotterup,0.441,7.497,17
18,30,37378,Min Woo Lee,0.409,5.730,14
19,9,27770,Camilo Villegas,0.402,0.804,2
20,22,28237,Rory McIlroy,0.394,3.150,8
21,8,59567,Emilio Gonzalez,0.385,3.469,9
22,1,28089,Jason Day,0.383,4.214,11
23,56,27349,Alex Noren,0.377,3.774,10
24,-2,36699,Patrick Rodgers,0.366,7.688,21
25,5,36799,Stephan Jaeger,0.363,4.356,12
25,5,54607,Danny Walker,0.363,2.902,8
27,5,12716,Charley Hoffman,0.359,1.438,4
28,5,32757,Patton Kizzire,0.352,3.164,9
29,5,36529,S.T. Lee,0.348,2.786,8
29,5,28252,Seamus Power,0.348,3.136,9
31,6,34076,Joel Dahmen,0.333,2.328,7
32,6,52375,Doug Ghim,0.332,2.652,8
33,8,55851,Pontus Nyholm,0.309,1.856,6
34,6,35450,Patrick Cantlay,0.301,3.308,11
35,8,47483,Will Zalatoris,0.298,0.893,3
36,8,57364,Michael Thorbjornsen,0.296,3.547,12
37,9,35296,Haotong Li,0.279,3.073,11
37,-13,51634,Sahith Theegala,0.279,5.853,21
39,8,49590,Frankie Capan III,0.278,0.555,2
40,40,29936,Ryan Fox,0.277,3.324,12
41,-36,49960,Sepp Straka,0.274,3.567,13
42,-27,52666,Sami Valimaki,0.255,3.566,14
43,38,25493,Nick Taylor,0.253,4.551,18
44,5,50188,S.H. Kim,0.237,3.082,13
45,46,51766,Wyndham Clark,0.235,3.993,17
