RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,35658,Kris Ventura,1.901,7.605,4
2,0,47995,Davis Riley,1.405,12.646,9
3,0,37275,Sam Ryder,1.344,6.720,5
4,0,23108,Matt Kuchar,1.308,3.923,3
5,3,60004,Jacob Bridgeman,1.276,22.974,18
6,-1,24024,Zach Johnson,1.232,7.394,6
7,-1,57900,Chandler Phillips,1.202,13.220,11
8,-1,54304,Karl Vilips,1.180,8.263,7
9,0,54628,Lee Hodges,1.109,6.655,6
10,0,45522,Christiaan Bezuidenhout,1.097,7.676,7
11,2,47420,Jake Knapp,1.095,20.800,19
12,-1,39335,Kevin Roy,1.052,10.518,10
13,-1,28252,Seamus Power,1.048,9.435,9
14,1,57259,Dan Brown,0.983,9.834,10
15,2,36326,David Lipsky,0.935,4.676,5
16,8,52215,Robert MacIntyre,0.934,13.074,14
17,19,34046,Jordan Spieth,0.862,12.063,14
18,2,27770,Camilo Villegas,0.861,1.722,2
19,2,47983,Chad Ramey,0.813,10.564,13
20,2,27214,Kevin Streelman,0.777,1.554,2
21,2,52686,Rasmus Højgaard,0.776,6.987,9
22,-8,28089,Jason Day,0.756,8.315,11
23,5,46046,Scottie Scheffler,0.742,10.389,14
24,3,51894,Vince Whaley,0.727,5.819,8
25,6,32102,Rickie Fowler,0.701,9.810,14
26,4,48153,Matthieu Pavon,0.656,7.211,11
27,6,35461,Beau Hossler,0.623,2.491,4
28,4,51634,Sahith Theegala,0.601,12.612,21
29,8,47917,Takumi Kanaya,0.589,5.887,10
30,8,52453,Nicolai Højgaard,0.577,4.038,7
31,4,40250,Taylor Pendrith,0.576,8.069,14
32,23,29936,Ryan Fox,0.567,6.810,12
33,6,36799,Stephan Jaeger,0.540,6.480,12
34,-18,39975,Michael Kim,0.536,8.047,15
35,5,28723,John Parry,0.530,6.894,13
36,5,32757,Patton Kizzire,0.525,4.724,9
37,5,57586,Jesper Svensson,0.512,1.023,2
38,36,27349,Alex Noren,0.503,5.028,10
39,4,56781,Isaiah Salinda,0.487,2.919,6
40,14,34099,Harris English,0.484,8.234,17
41,3,34466,Peter Malnati,0.481,2.885,6
42,17,37378,Min Woo Lee,0.477,6.673,14
43,-25,33204,Shane Lowry,0.466,3.728,8
44,-19,57975,Harry Hall,0.454,6.355,14
45,0,59141,Matt McCarty,0.451,8.564,19
46,0,34098,Russell Henley,0.445,5.339,12
47,1,59440,Ricky Castillo,0.425,3.829,9
48,2,30911,Tommy Fleetwood,0.391,3.126,8
49,-15,35532,Tom Hoge,0.381,6.469,17
50,1,32839,Hideki Matsuyama,0.372,7.076,19
51,5,50188,S.H. Kim,0.369,4.803,13
52,8,60386,Sudarshan Yellamaraju,0.354,4.247,12
53,-27,59018,Ryan Gerard,0.341,5.789,17
54,-35,22405,Justin Rose,0.339,3.387,10
55,13,56630,Akshay Bhatia,0.335,4.695,14
56,7,46340,Alex Smalley,0.331,4.962,15
